Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
BZW1	2	2	57553.6	71959.9
BZW2	2	2		35545.3
C18orf32	1	1	197212	438532
C1D	1	1		98505.2
C1GALT1C1	1	1		41141.5
C1QTNF6	1	1		11528.6
C5orf22	1	1	21210.8	24576.4
C7orf25	1	1	170603	
C8orf33	1	1		11992.8
C8orf76;ZHX1-C8orf76	1	0		12406.4
CAB39	2	2		42210.1
CALML5	7	7	75595.2	33034.2
CALR	3	3		26126.8
CAND1	2	2	31486.6	7471.5
CANX	1	1		9209.81
CAPN2	1	1	81598.1	156841
CAPRIN1	1	1		18404.2
CAPZA1	1	1	77840.2	
CARD14	1	1		12297.9
CASK	1	1	87444.5	186645
CASP14	4	4	39081.2	
CASTOR2	1	1		36811.4
CAT	5	5	54118.3	17071.7
CAV1	1	1		191625
CAVIN1	2	2	337368	594378
CBFB	1	1		35467.6
CC2D2A	2	2	23317.6	31203.6
CCDC125	1	1		31032.1
CCN1	1	1	47266.9	27552.7
CCNA2	1	1		37038.7
CCNB2	1	1	176735	261497
CCND1	1	1		318464
CCND3	1	1		80263.8
CCNL2	1	1	226708	321560
CCPG1	1	1	36131.4	28061.4
CCT2	6	6	1.09633e+06	1.15995e+06
CCT3	4	4	240261	551347
CCT7	2	2		36438.2
CCT8	2	2	4.04746e+06	3.31443e+06
CD109	3	3		40783.2
CD2BP2	1	1		15056
CD55	4	4	527458	697693
CDC123	1	1		6444.68
CDC20	1	1	21369.3	6078.87
CDC23	1	1		7658.35
CDC25A	1	1		10446.6
CDC25B	1	1	305971	542567
CDC34;UBE2R2	1	0	93925.2	250324
CDC42EP3	1	1		33627
CDC73	2	2	40874.8	47089.8
CDCA7L	1	1		29573.1
CDH13	1	1		45462.3
CDIN1	1	1	1.4542e+06	57419.1
CDIP1	1	1		34447.7
CDK1	2	2	913627	1.96865e+06
CDK13	1	1		30209.4
CDK6	1	1	704932	661382
CDKAL1	2	2		378430
CDKN3	1	1		11113.8
CDR2	1	1		20206.3
CDSN	12	12	475808	
CDT1	1	1		52766.3
CEBPZOS	3	3	201064	95696.4
CENPE	1	1		57920.3
CENPI	1	1		27818.8
CENPN	1	1		16968.9
CEP104	1	1	218488	438269
CEP170;CEP170P1	1	0		14404.2
CEP20	1	1		163498
CEP44	1	1		11961.4
CEP85	1	1		30722.7
CERCAM	1	1		9306.71
CERK	1	1		163378
CFB	1	1		9990.04
CFL1	4	1		29439.6
CFLAR	1	1	24051.9	23416.7
CGA	1	1		174660
CHD3	1	1		72770.5
CHD6	1	1		12368.5
CHERP	1	1		11712.3
CHID1	1	1	19336.7	5081.21
CHST11	1	1		28177.1
CIAO3	2	2	33008	82936.8
CIB1	1	1		30264.1
CKAP4	1	1	156054	236699
CKAP5	3	3	159242	135910
CKB	1	1		70133.6
CLCN4	1	1	62522.2	58541.4
CLCN7	1	1		73523.1
CLDN12	1	1		50330.8
CLIC1	1	1		18638.5
CLN6	1	1		38312.8
CLP1	1	1	25280.9	31952.8
CLPTM1	2	2	103573	120104
CLTC	5	3	168067	126585
CLTCL1	1	1		63247.8
CLU	2	2	38462.4	412951
CLUH	1	1		23589.6
CMBL	2	2	47182.6	15614.3
CNBP	1	1		8301.15
CNN3	1	1		15662.8
CNOT1	1	1		78206.6
CNOT11	1	1		5641.94
CNPPD1	1	1		16457.1
COASY	1	1	157214	41233.2
COCH	1	1		29861.4
COG1	1	1		14626.4
COG2	1	1		5774.91
COG4	1	1		23581.3
COL1A2	3	3	141059	
COMMD2	1	1		8351.19
COMMD9	1	1		59053.2
COP1	1	1		7389.26
COPA	1	1		15888.8
COPB1	2	2		52319.5
COPB2	2	2		22989.9
COPG1	1	1	35827.4	182085
COPS5	1	1		414193
COPS7B	1	1	38855.6	24650.4
COQ5	1	1	252255	292089
COQ9	1	1		28431.3
COX5A	4	4	130421	210780
COX5B	2	2	107432	12016.3
COX6C	2	2		115339
COX7C	5	5	526989	47200.1
CPNE1;CPNE2	1	0	45969	
CPNE5;CPNE8;CPNE9	1	0		21863.5
CPNE7	1	1		47332.9
CPSF1	2	2		19645.4
CPSF2	1	1	45113.6	27030.6
CPT1A	2	2	100390	173120
CRBN	1	1		9695.86
CREBRF	1	1		46493.8
CRIP1	1	1		7269.81
CRISP3	2	2	135623	
CRLF1	1	1		7519.04
CRMP1	1	1		10390.7
CRYZ	1	1		13274.7
CSDE1	2	2		75132.3
CSN1S1	14	14	381521	216794
CSN1S2	4	4	25020.8	10067.8
CSN2	17	17	453022	240464
CSN3	2	2	113738	
CSNK1D	2	1	71259.8	113341
CSNK1E	1	1		36500.7
CSRP1;CSRP2	1	0		10064.5
CST6	4	4	265031	
CSTA	5	5	217777	
CSTB	1	1		14305.9
CSTF1	1	1		66185.6
CSTPP1	1	1	38638.7	27585.7
CTDNEP1	1	1	258268	619344
CTNNA1	3	3		39211.1
CTSA	4	4	142439	136414
CTSC	2	2		2996.95
CTSD	2	2	44303.9	
CTSZ	1	1	346989	426499
CTTNBP2NL	2	2		43167.6
CUEDC1	1	1		27712.3
CUL1	1	1		6741.98
CWC22	1	1	46438.2	67044.5
CXCR4	3	3	67390.6	76931.9
CYBA	1	1		41756.6
CYC1	1	1		4052.68
CYFIP2	1	1		31216.5
CYLD	1	1		4992.12
CYP24A1	1	1		25680.4
CYP51A1	1	1		60739.9
DAAM1	1	1		44968.9
DAB2	1	1		17404.3
DAD1	1	1	46501.2	
DAP3	4	4	1.33664e+06	420353
DAZAP2	1	1		232809
DCAF1	1	1	103724	103267
DCAF12	1	1		10659.8
DCAF15	2	2		34859.3
DCAF7	1	1		10489.6
DCAKD	1	1		106140
DCD	62	62	2.64166e+06	42364.7
DCTN3	2	2		1.79838e+06
DCUN1D2	1	1		172260
DCX	1	1	48211	21692.6
DCXR	1	1	235438	134280
DDB1	5	5	369596	573722
DDIAS	2	2	25388.4	10963.3
DDIT4	1	1		89548.4
DDX1	1	1	26496.7	10207.3
DDX11;DDX11L8	1	0	48750.5	54980.1
DDX17;DDX5	1	0		18404.7
DDX19A;DDX19B	2	0		21797.3
DDX20	1	1		20555.4
DDX21	2	2	76253.9	130827
DDX3X	1	1		5763.37
DDX42	1	1		34987.9
DDX47	2	2		150035
DDX50	2	2		52587.9
DDX52	2	2		27594.1
DDX60	2	1		113602
DEGS1	2	2	461370	433794
DENND4C	1	1		58788.4
DENND6A	1	1		10372.1
DEPDC1B	1	1		43669.1
DEPDC7	2	2	9271.87	9421.67
DGKD	3	3	158758	248250
DGKH	1	1		14585.9
DHPS	1	1	62440.1	
DHX32	1	1		33188.4
DHX33	1	1		62588.1
DHX37	2	2	184845	316198
DHX38	1	1		11380.9
DHX57	2	1		73535
