Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
CAPZA1	1	1	74520.7	
CARD14	1	1		12512.5
CASK	1	1		219138
CASP14	4	4	36330.6	
CAT	4	4	90907.8	
CAV1	1	1		194969
CAVIN1	2	2	317293	612304
CAVIN3	1	1		4947.87
CBFB	1	1		36086.5
CC2D1A	1	1		19524.4
CC2D2A	2	2	24749.7	32010.7
CCDC85B	1	1		24660.9
CCN1	1	1	45138.9	26986.1
CCNA2	1	1	20037.7	37774.4
CCNB2	1	1	173794	266046
CCND1	1	1	332637	324020
CCND3	1	1		81664.3
CCNL1	1	1		76299.1
CCPG1	1	1		20590.1
CCT2	6	6	1.09449e+06	1.1822e+06
CCT3	3	3		466463
CCT7	2	2		33215.9
CCT8	2	2	3.72409e+06	3.299e+06
CD109	3	3		41494.8
CD2BP2	1	1		20516.2
CD55	4	4	599855	631801
CD9	1	1	19542.2	
CDC123	1	1		6557.13
CDC20	1	1	20934.6	6407.02
CDC23	1	1		7832.49
CDC25A	1	1		8583.19
CDC25B	1	1	372166	612385
CDC25C	1	1		612482
CDC42EP3	2	2		56269.8
CDC7	1	1		13944
CDC73	2	2	39440.7	48952.3
CDCA7L	1	1		30178.6
CDH13	1	1		46255.6
CDIN1	1	1	1.35596e+06	58596.5
CDIP1	1	1		35048.8
CDK1	1	1	1.03601e+06	2.01096e+06
CDK13	1	1		30736.5
CDK4	1	1		5468.61
CDK6	1	1	831990	672922
CDK9	1	1		12715.1
CDKAL1	2	2	239153	380881
CDKN3	1	1		11307.8
CDR2	1	1		20023.7
CDSN	11	11	458220	
CDT1	1	1		53687
CEBPZOS	3	3	202296	97931.3
CENPE	1	1		58930.9
CENPI	2	2		28304.2
CENPN	1	1		17265
CEP104	1	1	217310	445916
CEP20	1	1		166351
CEP44	1	1		12024.4
CEP85	1	1		32486.4
CERK	1	1		166229
CFLAR	1	1	24896	24148.2
CGA	1	1		177708
CGAS	1	1		6475.44
CHD3	1	1		74040.3
CHD6	1	1		12584.4
CHERP	1	1		11916.6
CHID1	1	1	19881.9	5509.39
CHST11	1	1		28668.7
CIAO3	2	2	35536.7	84383.9
CIB1	1	1		30792.2
CKAP4	1	1		240829
CKAP5	3	3	161746	139049
CLCN4	1	1	67257.6	61585.3
CLCN7	1	1		74806
CLDN12	1	1		51236.4
