Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
MPZL1	1	1	191788	
MRPL16	1	1	17720.1	3309.54
MRPL28	1	1		18547
MRPL41	1	1		20503.8
MRPL42	1	1		9997.78
MRPL43	1	1		57502.7
MRPL48	1	1		11673.6
MRPS17	1	1	71734.4	
MRPS28	1	1	73726.3	43056.2
MRPS5	1	1		29970.3
MRPS7	1	1		29139.8
MRTFA	1	1	18002.8	
MRTO4	1	1		20341
MSH2	2	2	33060.6	11502.5
MT-ATP8	1	1		14535.9
MT-CO1	1	1		12835.3
MTARC1	2	2		44504.9
MTCH1	2	2		13966.2
MTCH2	2	2	19200.2	19327
MTERF3	1	1	37201.2	
MTHFD1L	2	2		28020.7
MTM1	1	1	36941.2	
MTMR12	1	1	41064.5	43485
MTMR14	1	1		18801.8
MTMR2	2	2	285676	
MTR	1	1		30013.4
MTREX	2	2		82429.1
MTRF1	1	1		20886
MTRR	1	1	45219.7	41632.2
MUC16	3	3	56687.6	48145.3
MUCL1	1	1	40198.3	
MVB12A	1	1	12955.4	
MVP	2	2	16652.7	35013.7
MYADM	1	1	52108.1	51574.6
MYBBP1A	2	2		47718.8
MYC	2	2		35065.8
MYH9	2	2	536883	1.06169e+06
MYL6	1	1	55543.2	89167.5
MYL9	1	1		13820.6
MYO10	2	2	57693.7	28804.7
MYO5A	2	2		27038.6
MYO9B	2	2		43678.3
MYOF	2	2	15385.3	14608.5
NAMPT	1	1		11390.7
NANS	1	1	30684.1	28095.5
NASP	2	2		42146
NAV1	1	1		22937.4
NAXD	1	1		17696.1
NCAM1	2	2	18564.6	12355.7
NCAPG2	3	3		80231.7
NCKAP1	3	3	31930.2	11587.7
NCL	7	7	654045	748796
NCOA7	1	1	58604.3	120075
NDC1	1	1		43506.6
NDE1	1	1		26703.5
NDRG3	1	1		7576.32
NDUFA4	1	1	213411	448497
NDUFB11	2	2		25905.1
NDUFB4	2	2	44998.7	127560
NDUFC2	1	1	57275.5	
NDUFS1	2	2		48738.1
NDUFV2	1	1		4180.86
NEDD8	1	1	222852	
NEK9	2	2	164853	385471
NENF	1	1	57737.3	31788.6
NET1	1	1		37442.6
NGDN	1	1	47535.5	115507
NHERF1	1	1		57216.9
NIFK	1	1		1.17171e+06
NIP7	1	1		28760.9
NKTR	1	1	138345	209077
NOC2L	3	3		62526.5
NOC4L	1	1		28731.6
NOL6	2	2		538131
NOL8	1	1		7285.01
NOM1	1	1		16901.2
NONO	1	1	5.50168e+06	4.10694e+06
NOP56	2	2	73325.6	100824
NOP58	1	1	38831.7	45212.3
NOSIP	1	1		20458.7
NPC1	3	3	316983	205820
NPLOC4	1	1		159522
NPM1	1	1		34574.4
NPR1	1	1		51925.1
NQO1	1	1		78604.2
NR1D1	1	1	76359.2	81661.7
NR1D2	1	1		5979.57
NR1H2	1	1	200192	421361
NR4A1	1	1	21390.4	19946.1
NSMCE1	1	1	413486	792303
NT5C3A	1	1	141714	225222
NT5DC2	2	2		35684.1
NTMT1	1	1		44653.1
NUDT1	1	1		37523.2
NUDT15	1	1	81808.1	
NUDT9	1	1	100437	160606
NUF2	3	3	40143.9	12197.5
NUFIP2	1	1	934494	1.17429e+06
NUP107	2	2	89608.3	134063
NUP153	1	1		62479.4
NUP155	3	3	55693.6	61089
NUP160	3	3		25488.3
NUP188	3	3	820198	571993
NUP205	2	2		197021
NUP210	2	2	207918	277930
NUP214	2	2	184091	200180
NUP54	1	1	157270	213445
NUP93	3	3	26502.5	31521.9
NUSAP1	1	1	199015	457580
OAS1	1	1	59780.3	92989
OAS3	1	1		20587.9
OASL	1	1	67788.7	8936.71
OGA	4	4	171467	162084
OGDH	3	3		11336.4
OGFOD1	1	1	199337	307336
OGFOD3	1	1		102085
OGT	1	1		15710.6
OLFM1	1	1		6856.37
OLFML2B	1	1		216583
ORAI2	1	1	197254	57264
ORC5	1	1	436719	89760.3
OSBPL2	1	1		27716.2
OSBPL3	1	1		27257.5
OSBPL9	1	1		27390.1
OTUD6B	1	1	102992	148328
OTULINL	1	1		15945.8
OXR1	1	1		17719.8
P2RX5	1	1		12020.6
P4HB	3	3		37834.6
PABPC4	1	1	75073.5	99727.8
PAIP1	1	1	135511	285691
PALM2AKAP2	1	1		93698.7
PALS1	1	1		12989.5
PAM	1	1		48433.6
PAOX	1	1		29455.4
PAQR4	1	1		41000.7
PAQR7	1	1	61462.7	44599.8
PARG	1	1	60308	85062.5
PARP14	2	2		21504
PARP4	2	2		31796.2
PARVB	1	1		8113.45
PATJ	1	1		27664.4
PATZ1	2	2		479802
PCBP4	1	1	37899.2	54704.7
PCNA	1	1		17652.4
PCTP	1	1		9426.02
PDCD11	2	2		38495.2
PDCD4	1	1	373070	420912
PDCD6IP	1	1		10270.8
PDE3A	3	3	90276.4	146511
PDIA3	1	1	29142.5	
PDIA6	2	2		13983.9
PDLIM7	1	1	68129.8	117671
PDS5A	3	3	733360	600706
PDZD11	1	1	57049.4	53458.6
PEG10	1	1		89136.2
PET100	1	1		15289.3
PEX14	1	1		11520.1
PFKM	1	1		49873.5
PFKP	1	1	41063.8	
PFN1	1	1	16530.8	
PGAP1	1	1		16929.2
PGD	2	2		14257.6
PGK1	1	1	21025.6	
PGK2	1	1	31629.1	
PGRMC1	1	1	20343.1	
PGS1	1	1		21966.6
PHB1	1	1	47308	116495
PHF12	1	1	45824.7	30278.5
PHF20	1	1		11413.5
PHF5A	1	1		15457.1
PHYH	1	1		19785
PI4KA	2	2	30434.5	32078.5
PIEZO1	2	2		48572.9
PIGBOS1	1	1		13342.3
PIGM	1	1	231487	119332
PIGN	3	3	66504.5	116752
PIGR	9	9	165298	
PIGU	1	1	21305.6	17878.1
PIP	3	3	100385	
PKLR	1	1	37758.5	
PKM	4	4	64585.1	25429
PKMYT1	1	1		16358.7
PKN3	1	1		15099.1
PLEC	4	4	220359	350949
PLEKHA5	1	1		44034.6
PLK1	1	1		23371.9
PLK2	1	1		68955
PLOD3	1	1		21860
PLS3	1	1		33540.1
PLXNA3	1	1		156257
PMM1	2	2	346063	340472
PNMA1	1	1		445584
PNP	1	1	15702	
POGK	1	1		44578.8
POLA1	1	1	97391.3	299005
POLA2	2	2	51224.5	58938.4
POLD1	1	1		37539.8
POLE	4	4		110760
POLR1B	1	1		29293.5
POLR1E	1	1	392948	338977
POLR2A	2	2		133632
POLR2B	2	2		51318.8
POLR2D	1	1		25682.2
POLR2G	1	1	266065	
POLR3A	1	1		5280.47
POLR3C	1	1	478007	709670
POLRMT	1	1		5599.32
PON2	2	2	116826	179464
POP4	1	1		17318
PPA1	2	2	283591	250531
PPAN	1	1		38751.3
PPARGC1A	1	1		18895.1
PPCS	1	1	37427.8	41247
PPIA	3	3	30575.2	32645.2
PPIL2	1	1	84388	88045.4
PPME1	1	1	79949.2	110426
PPP1CA	1	1		29518.8
PPP1R9B	1	1		20316.3
PPP2R1A	2	2	115520	253100
PPP2R1B	2	2		82936.7
PPP2R3C	2	2		6559.06
PPP2R5D	1	1		9302.56
PPP4R1L	1	1	65077	56044.7
PPP4R2	1	1	680373	519436
PPP6R1	2	2		54503.9
PPT1	3	3	63339.4	114550
PPWD1	1	1		130420
PRAME	2	2	93683.9	45329.2
PRB1	3	3	55642.7	
PRB4	1	1	25397.6	
PRDX1	1	1		9661.9
PRDX2	3	3	32232.5	
PRDX3	2	2	7788.74	6640.08
PRDX6	2	2		17212.1
PRELID1	1	1	69522.8	175153
PRELID3B	1	1		34243
PRH1	10	10	1.09561e+06	
PRIM1	1	1	6609.89	3586.12
PRKACA	1	1	5660.93	
PRKACB	1	1		3049.92
PRKCA	2	2	274017	400658
PRKCB	1	1		13934.2
PRKDC	3	3	93583.7	118971
PRP4K	1	1	15752.4	13754
PRPF19	2	2	45747.1	71208.9
PRPF8	6	6	205873	182837
PRR4	12	12	728669	
PRRC2A	2	2		114826
PSENEN	1	1		10634.8
PSMA1	1	1	10559.4	
PSMA2	4	4		206881
PSMA4	2	2	356510	607762
PSMA5	2	2	34213.1	
PSMA7	1	1	26019.9	
PSMB2	2	2	85811.7	68474
PSMB4	2	2		86855.2
PSMB5	1	1		21821
PSMB7	1	1	47867.6	99796.2
PSMC1	2	2	31714.6	28035.7
PSMC3	2	2	52408.1	92714.9
PSMC4	2	2		15527.2
PSMC5	1	1		117643
PSMD12	1	1	55788.1	47681.5
PSMD14	1	1	26656.8	32116.9
PSMD3	1	1		14408.6
PSMD7	2	2	132370	125203
PSME1	1	1		6512.01
PSME3	4	4	311898	395124
PSMG1	1	1		11102.5
PSMG4	1	1		14289
PSORS1C2	1	1	41348	
PSPC1	1	1	40146.5	27971.8
PTBP3	1	1		5653.5
PTGES2	1	1		7668.47
PTGFRN	3	3		48159.9
PTGR2	1	1	15569.6	
PTK2	1	1		5217.74
PTOV1	1	1		14396.8
PTPMT1	1	1		16273.2
PTPN14	2	2	202976	194822
PTPN3	2	2		14605.9
PTPN9	1	1		9865.09
PUF60	6	6		259418
PUM1	1	1		21914.2
PUM3	2	2		31478
PWP1	1	1		24290.6
PYGB	1	1	162616	261783
PYGL	1	1		35263.8
PYROXD1	2	2	102088	128366
QKI	1	1	24801.9	36997.2
QSOX2	1	1		2797.69
RAB10	1	1	22162.4	11322.2
RAB12	1	1		26273.4
RAB34	2	2	44951.9	31658.6
RAB3GAP1	2	2		35585.2
RAB7A	1	1		11081.7
RACK1	1	1		29085
RAD51AP1	1	1		21211.3
RAD54B	2	2		13169.7
RAD54L	1	1		15902.1
RAI14	1	1		48504
RALGAPB	1	1		73883
RALY	1	1		20548.1
RANBP2	1	1		22127.2
RANBP6	2	2		53536.8
RAP1GDS1	2	2		111395
RAP2B	1	1	13824.8	4595.89
RARS1	1	1	332053	190086
RB1	2	2		39338.4
RB1CC1	1	1		232430
RBAK	2	2	55522.2	60895.1
RBFOX2	2	2		46827.4
RBM26	1	1		52690.7
RBM39	1	1	22271	
RBM43	1	1		14732.6
RBPMS	1	1		75415.1
RCAN1	1	1		68413.6
RCC1L	1	1	18902.9	11990.9
RCL1	1	1	22688.7	10822.6
RDX	1	1		22256.7
RECQL4	1	1		35556.4
RELA	1	1		18066
RETSAT	1	1	238022	506912
RFC2	1	1		28153.9
RFC3	1	1		12817.6
RHBDD2	1	1	121251	428571
RHEB	1	1		19919.5
RHOA	1	1		29314.2
RHOBTB3	1	1	434906	254116
RHOF	1	1		25876.9
RHPN2	1	1	49578.2	
RIF1	5	5	157895	201689
RIGI	1	1		8156.56
RIMKLB	1	1		15589.8
RIMOC1	1	1		23968.5
RNASEH2C	1	1	573785	391982
RNF114	1	1	41028.2	40545.1
RNF213	4	4	46257.1	31663.4
RNF40	1	1		29765.8
RNPEPL1	1	1	83341	
RPA2	2	2	8091.24	8836.04
RPF2	1	1		19698.9
RPL10A	2	2	45296.2	48517.1
RPL11	3	3	870699	754461
RPL12	1	1		12241.4
RPL13	1	1	22664.8	
RPL13A	2	2		18635.2
RPL14	2	2	16644.7	18192.1
RPL15	2	2		185697
RPL17	1	1		8896.19
RPL19	1	1	65259.8	52490
RPL21	1	1	32354.8	10779.8
RPL22	2	2	13611.8	10410.8
RPL23	3	3	500715	448027
RPL23A	7	7	182469	81614
RPL24	1	1	160173	
RPL27	2	2	417708	371370
RPL28	1	1		25384.2
RPL30	1	1		13061.9
RPL31	4	4	101986	82063.6
RPL35	2	2		54603.6
RPL37A	3	3	15099.8	14298.1
RPL38	8	8	47964.3	22586.6
RPL39	3	3	267116	
RPL4	2	2		17503.5
RPL5	2	2	17476.4	13164.9
RPL7	1	1		285023
RPL7L1	1	1		54180.9
RPL9	1	1		28481.2
RPLP0	1	1		10805.9
RPLP1	2	2		1.16031e+06
RPN1	2	2		122360
RPS10	1	1	43766.6	17662.6
RPS11	2	2	451078	305659
RPS13	1	1		12786.3
RPS14	1	1		25422.2
RPS17	1	1		6174.91
RPS23	1	1		17348.6
RPS24	2	2	18905.4	7464.11
RPS25	1	1		119893
RPS27A	1	1		25668
RPS28	1	1	19262.9	
RPS29	5	5	326920	323794
RPS3	1	1	952265	67093.9
RPS3A	1	1	145296	238474
RPS4X	4	4	602174	286912
RPS6KA3	1	1		17157.8
RPS6KA4	2	2		41527.4
RPS7	8	8	239606	222991
RRP12	2	2	37269.5	40529.9
RRP36	2	2		856810
RRS1	1	1		6408.18
RTN4	1	1		13200.5
RTRAF	1	1	97931	46839.6
RWDD1	1	1	23371.3	37997.8
RWDD2A	1	1		30881
S100A16	1	1	51287.6	45934.3
S100A6	1	1		18471.1
S100A8	1	1		30868
S100A9	4	4	51527.7	17913.6
SACM1L	2	2	70291.4	90692
SACS	3	3	44967.4	27372.5
SAE1	3	3	465617	212522
SAP18	1	1	29919.5	20450.9
SAP30BP	1	1		25957.9
SAR1A	1	1		6676.68
SART1	1	1		101966
SAT1	1	1		17115.4
SBDS	3	3		134822
SBSN	28	28	203388	
SC5D	1	1		6534.25
SCAF11	1	1		45401.4
SCD	1	1		24105
SCGB1D1	1	1	53513	
SDAD1	1	1		17228.4
SDHB	1	1		11438.4
SEC61G	1	1		16284.5
SEL1L	1	1		11413.6
SEL1L3	1	1		90698.8
SELENOF	1	1	556680	353072
SELENOI	1	1		5254.31
SEMG1	1	1	42627.1	
SENP6	1	1	36168.9	25441.4
SEPTIN10	1	1		14111.3
SEPTIN6	1	1		16422.2
SEPTIN9	2	2		13574.1
SERINC3	1	1		15514
SERPINB11	1	1		13269.8
SERPINB12	1	1	31612.7	
SERPINB2	1	1	82955.4	
SERPINB3	1	1	21576	
SERPINB5	1	1		15093.9
SERPINE2	2	2		84107
SERPINH1	3	3	442611	838840
SESTD1	1	1		36055.5
SETD3	2	2	169043	30013.7
SETD7	1	1		6193.24
SETD9	1	1		26799.5
SF3B1	8	8	680150	719988
SF3B3	2	2	14967.9	14950.8
SFMBT1	2	2	10619	9411.62
SFMBT2	1	1	106918	
SGCB	1	1		61069.3
SGK1	1	1		53201
SH3BP5	1	1		132205
SHCBP1	1	1	167205	97949.5
SHMT2	1	1		19021.2
SHOC2	1	1		11257.4
SIAE	1	1		61812.9
SIN3A	2	2		85273.6
SIN3B	1	1		103586
SIPA1L1	1	1		31016.9
SKIC2	1	1		9680.14
SKP2	1	1		63359.6
SLBP	1	1	45768	47638.8
SLC10A3	1	1		80773.5
SLC12A2	1	1		13947.3
SLC16A1	3	3	432736	652171
SLC16A3	3	3	483892	629984
SLC16A7	1	1		101504
SLC22A4	1	1		123574
SLC25A11	3	3	13276.8	9054.69
SLC25A17	1	1		14440.5
SLC25A3	3	3	58602.7	50375.8
SLC25A32	2	2	33312.7	57100.5
SLC25A39	1	1	27979.3	23829.4
SLC25A5	1	1		9960.52
SLC2A13	1	1		186548
SLC35A5	1	1	27346.2	40359.2
SLC35B3	1	1		14094.9
SLC35F3	1	1	220240	473181
SLC35F5	1	1		12911
SLC36A4	1	1		31768.9
SLC37A3	1	1		12656.9
SLC37A4	1	1		25780.9
SLC38A2	1	1	43365.5	
SLC38A9	1	1		33122.7
SLC39A6	1	1		20290.1
SLC3A2	2	2		72913.4
SLC41A1	1	1	82796.9	77720.8
SLC41A2	1	1	86607.2	75056.9
SLC43A2	1	1		2364.5
SLC43A3	1	1		10337.4
SLC4A1AP	1	1		56015.7
SLC5A6	1	1		32630
SLC7A11	2	2	19469	14033.2
SLC7A5	2	2	364605	350451
SLC9A8	1	1		17199.7
SLF1	1	1		52512
SLF2	2	2		17973.2
SLIRP	1	1		17601.4
SLTM	1	1		149709
SMAD4	2	2	245573	544351
SMARCA2	3	3		15263.8
SMARCA4	1	1	151773	159342
SMARCA5	1	1		36969.6
SMARCAL1	1	1	138361	227862
SMC3	2	2		59288.3
SMCHD1	1	1		16379.7
SMG1	2	2	65337.2	46916.4
SMPD4	2	2	67886.9	32802.1
SMR3B	1	1	221680	
SNAPC3	1	1		32496.8
SNCA	1	1		7239.84
SND1	2	2	103344	151686
SNRK	1	1		16577
SNRNP200	5	5	130490	250372
SNRPA1	1	1		49982.6
SNRPF	1	1	36201	79427.3
SNTB2	1	1		9290.74
SNURF	1	1		29039.8
SNW1	1	1		12990.1
SNX6	1	1		11403.8
SNX7	1	1	109952	485086
SOD1	1	1	89904.5	
SORD	1	1	86466.4	156762
SOS1	1	1		29106.5
SOX13	1	1		13159.2
SPATA20	1	1		25320.9
SPATC1L	1	1		30987.5
SPINK13	6	6	725555	565393
SPINK5	1	1	68667.6	
SPRR3	1	1	25467.2	
SPRYD4	1	1		7301.99
SPRYD7	1	1		13184.2
SPTAN1	6	6	283829	290180
SPTBN2	1	1	25759.7	
SQSTM1	1	1	70209	160664
SRCAP	1	1	17322.2	
SRD5A1	1	1		9799.1
SREBF1	1	1	274228	181934
SREBF2	1	1		21104.8
SRP68	1	1		43125.2
SRP9	1	1		31024.6
SRPK1	1	1		22237.9
SRPRA	1	1		13770.2
SRPRB	2	2		33595.7
SRSF4	1	1		27710.9
SSB	1	1		31989.8
SSR4	1	1		58158.8
SSRP1	2	2	45428.4	19843
ST3GAL1	1	1		11815.3
STAG1	1	1		13168.5
STAG2	3	3	35126.8	81480.2
STARD4	2	2		23811.1
STAT3	2	2	40358.4	87098.5
STAT6	1	1		46815.1
STATH	3	3	905914	4607.08
STIP1	2	2	6160.21	6655.11
STK17A	1	1		51858.4
STK17B	1	1	15402.2	10550.7
STK36	1	1		35360.4
STOM	1	1	369845	698531
STOML2	2	2		33112.9
STRADA	1	1	63583.6	77751.5
STRN4	1	1		10075.5
STT3A	2	2		102766
STX18	1	1	49669.1	54823.8
STX1A	1	1		72258.6
STX5	1	1		22082.9
STXBP1	1	1		19464.2
STXBP5	1	1		15913.2
SUGT1	1	1		87088
SUPT16H	1	1	14030.3	4902.48
SUPT5H	2	2	289938	673856
SUPT6H	1	1	147853	13417.7
SUZ12	1	1		16876.3
SYAP1	1	1		21430.8
SYF2	1	1		19169.6
SYMPK	1	1		44103.7
SYNE1	3	3	61851.9	61613.1
SYT12	3	3	73675.8	140328
SYVN1	2	2	622790	581443
TAF2	2	2		10806.6
TAF6L	1	1		56586.1
TALDO1	2	2	47611.4	25943.2
TANC2	1	1		528657
TAP1	1	1		40511.6
TARS1	7	7	323062	127613
TAS1R3	1	1		7227.48
TASOR	1	1	76740.5	
TBC1D1	1	1		30030.4
TBC1D10A	1	1		15441.5
TBC1D2	1	1	39274.4	45577.1
TBC1D23	2	2		31533.1
TBC1D30	1	1		19052.5
TBCE	1	1		163119
TBCK	1	1		19941.9
TBK1	4	4	2.4854e+06	2.57086e+06
TCEA2	1	1		14562.7
TCF19	1	1		34497.4
TCF25	1	1		14379.1
TCIRG1	1	1		83580.3
TCN1	1	1	28863.8	
TCN2	1	1		19017.9
TCOF1	1	1		11241.7
TCTN1	1	1	33895.5	73110.8
TDG	1	1		98355.9
TECR	1	1	17068.7	7394.36
TENT5A	1	1	75422.4	156185
TENT5B	1	1	27907.8	7437.18
TFIP11	2	2	107234	27827.1
TFPI	1	1		12333.4
TFRC	1	1		112089
TGM2	1	1	27605.4	
TGM3	1	1	47414.8	
TGS1	2	2	23124.4	25644.4
THADA	2	2	104844	177304
THAP3	1	1		8370.17
THAP4	2	2	26631.5	33572.2
THOC2	2	2	62235.7	49033.3
THUMPD1	1	1		176161
TIMM17A	1	1		113164
TK1	1	1	114341	171024
TKT	3	3		87610.6
TM2D1	1	1		15404.2
TM2D3	1	1		13621.8
TM4SF1	1	1		19648.6
TM7SF3	1	1		77483.4
TM9SF2	1	1	41660.4	8203.04
TMBIM1	1	1		10694.8
TMBIM4	1	1		17024
TMBIM6	2	2		30257.1
TMCO1	1	1	1.07721e+06	135357
TMED10	3	3	53573.3	109976
TMEM104	1	1		10864
TMEM127	1	1	27273.5	
TMEM141	1	1		5152.4
TMEM30A	1	1		45763.9
TMEM41B	1	1		162267
TMEM87B	1	1		10679.9
TMF1	1	1	28932.5	39639.9
TMSB4X	2	2	62064.9	
TMX2	1	1		4657.8
TMX3	1	1		34338
TNPO3	2	2		199252
TNS2	1	1		31725.3
TOGARAM2	1	1		23455.6
TOMM40	1	1		9642.28
TOMM5	4	4	306391	113953
TOMM6	2	2		321088
TOMM7	2	2	361481	518992
TOP3B	1	1		18156.9
TP53	1	1		43562.6
TPD52L2	2	2		28181.2
TPI1	4	4	81457.7	
TPR	3	3		97983.3
TPX2	1	1		16808.3
TRAF3IP2	1	1	80007.1	42220.7
TRAF4	1	1		15233
TRAF7	1	1	26114.2	28987.6
TRAPPC3	1	1	254127	252840
TRAPPC8	1	1		17502.9
TRIM2	1	1	80858.8	20842
TRIM24	1	1		207093
TRIM25	1	1		24959
TRIM28	3	3	59563	54132.8
TRIM7	1	1		25848.9
TRIO	2	2		16090.3
TRIP12	2	2		40865.6
TRIP13	1	1		16485.6
TRPC4AP	1	1		10734
TRRAP	3	3	1.09906e+06	1.04439e+06
TTC3	1	1		34029.6
TTC38	1	1		18398
TTK	1	1		18669.7
TTR	1	1	29808.6	
TUBA4B	1	1	92791.8	
TUBB	1	1		27290.8
TUBB2B	1	1	19644.4	5228.73
TUFM	2	2	1.20308e+06	1.52434e+06
TXNDC12	1	1		12970.5
TXNDC15	1	1		7344.42
TXNDC9	1	1		16258.9
TYK2	1	1		77755.6
UBA1	1	1		46036.2
UBA2	1	1	19849.5	35540.2
UBA3	1	1	25345.2	41002.3
UBA52	3	3	131784	72120.6
UBA6	1	1		10932.6
UBE2C	1	1		18065.5
UBE2J1	1	1		7358.17
UBE2J2	1	1	506857	133864
UBE2O	1	1	162458	593116
UBE2S	1	1		13161.9
UBE2T	1	1		388503
UBE3A	1	1	25610.8	22796.3
UBE3C	3	3		114226
UBL4A	1	1		24097.2
UBQLN2	1	1		5128.22
UBR1	3	3		54286.3
UBR4	2	2		699142
UBXN4	2	2	18808.7	18981.4
UBXN7	1	1		13256.6
UCHL1	1	1		96977.7
UCHL5	3	3	103559	55071
UCK2	1	1		15591.1
UCKL1	2	2	158326	145800
UEVLD	3	3	37740	36771
UMPS	1	1		32695.3
UNC119	1	1		30771.9
UPF1	1	1	41144.7	70081.3
UPP1	1	1		32173.3
UQCC5	1	1		11162.7
UQCR10	3	3	39722.4	35001.2
UQCRQ	1	1		6248.81
URB1	3	3	61614.1	65059.5
URB2	1	1		18208.5
USP1	2	2		54190
USP15	1	1	55097	42408.1
USP19	1	1		31735.6
USP22	1	1	154773	206532
USP25	1	1	22485.3	41207.9
USP33	2	2	531018	537124
USP39	1	1		13636.9
USP4	1	1	20330.1	
USP47	2	2		30539.4
USP48	1	1		130651
USP8	1	1	55174.7	28988
USP9X	1	1	294868	370243
UTP15	4	4	184153	27410.4
UTP20	2	2		18310.4
UTP25	1	1		20844.2
UTP4	1	1		43826.7
UXT	1	1		22466.4
VAPA	2	2		69957.8
VAPB	1	1	8129.63	9257.9
VIM	4	4	142311	49322.9
VIRMA	2	2		102359
VMP1	2	2		54420.4
VPS13C	2	2	13907.9	13662.3
VPS25	1	1		4508.19
VPS29	1	1		21238.7
VPS33A	2	2	48613.5	8762.29
VPS35	3	3		56374
VPS35L	1	1		23428.8
VPS51	1	1	355630	249377
VPS53	1	1	83218.2	
VWA5A	1	1	79671.3	49515.4
VWA8	1	1	127462	327669
WASF2	1	1		19655.6
WASHC4	2	2		265419
WDR12	2	2	26341.1	5247.69
WDR20	1	1		18622.1
WDR3	1	1		19370.1
WDR35	1	1	55315.8	78343.5
WDR36	1	1	205858	313647
WDR54	2	2	11869	16547
WDR70	1	1		12068.2
WDR75	4	4		81064.7
WDR76	1	1		78099.7
WDR81	2	2		33114.1
WDR82	2	2	34554.7	57367.6
WLS	1	1		36300.7
WRAP73	1	1		7151
XDH	1	1		50265.1
XPO1	2	2	213176	223992
XPO7	1	1		4367.7
XRCC1	1	1		8754.37
XRCC5	2	2	23928.3	74336.5
XRCC6	1	1		10449.9
XXYLT1	1	1		13297.8
YEATS4	1	1		20936.2
YIPF5	1	1	682731	1.0573e+06
YME1L1	2	2	36363.2	30920.3
YTHDC1	1	1		108832
YTHDF2	2	2		13187.3
YWHAH	1	1		12019.2
YWHAQ	1	1	14311.5	19404.2
ZBED1	1	1		8338.79
ZBTB12	1	1	401128	640937
ZBTB26	1	1		39677.8
ZBTB33	1	1	64569.9	
ZBTB38	4	4		66901.4
ZC3H14	1	1		14447.1
ZC3H15	2	2	51801.7	64904.9
ZC3H7B	1	1		8771.4
ZC3HAV1	2	2	49087.9	77123.6
ZCCHC3	1	1		26579.9
ZDHHC24	1	1		291805
ZFAND1	1	1		20174.4
ZG16B	1	1	66449.7	24336.5
ZKSCAN3	1	1		10873.2
ZMAT2	1	1	252341	507371
ZMIZ2	1	1		95431.4
ZNF12	1	1		34138.7
ZNF131	1	1		33286.1
ZNF217	1	1		13897
ZNF274	1	1		80680
ZNF281	1	1		21700.1
ZNF394	1	1	44990.3	71548.4
ZNF483	1	1		23398.1
ZNF503	1	1		20811.4
ZNF564	1	1		21178.7
ZNF587B	1	1		109298
ZNF598	1	1		86567.6
ZNF622	1	1	54889.8	36407.4
ZNF695	1	1		19485.8
ZNF766	2	2	106125	110565
ZNF791	1	1		10269.5
ZNF891	1	1		16056.9
ZNFX1	2	2		23862.6
ZSCAN32	1	1		12382.5
ZSWIM3	1	1	10689.6	16032.2
ZW10	1	1	600545	1.08997e+06
ZWINT	2	2	14869.7	16127.5
ZYG11A	2	2	59879.7	33975.4
ZZEF1	2	2	102144	438141
cysK	1	1		18177.7
hisI	1	1		466077
hly	2	2	214945	244706
inlB	1	1		31894.4
pdp	1	1		6177.52
plcB	2	2		35478.1
prpL	4	4		148383
prs	1	1		7901.05
prsA	1	1		9423.34
rplF	1	1		14904.4
rplV	1	1		15185.9
rplW	2	2	24469.6	27257.4
rpoD	1	1		17743.9
tuf	1	1		22691.1
