Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
AASDHPPT	1	1	55318.9	39419.4
ABCC4	3	3	242659	228263
ABCD1	1	1	53868.9	61455.6
ABHD12	1	1		4303.11
ABHD2	1	1	50832.4	76414.6
ACAD9	1	1		40319.4
ACKR3	1	1		134326
ACO2	1	1	128272	373678
ACP2	1	1		11500.1
ACSL4	1	1		28236.4
ADCY6	1	1		124900
ADD3	1	1	172982	58286.9
ADORA2B	1	1	1.09413e+06	569012
AFF1	1	1		11753.1
AFG3L2	1	1	19642.8	
AHNAK	1	1	111307	800837
AHNAK2	1	1	790052	1.23407e+06
AIG1	1	1		35184.3
AIMP2	1	1	320052	128547
AKAP10	1	1	149155	172542
AKAP11	1	1		67284.1
AKIP1	1	1	2.97427e+06	2.84088e+06
ALDH16A1	1	1	65102.8	28976.2
ALDH3A1	1	1		27615.5
ALDH7A1	1	1		27625.3
ALG6	1	1		20509.7
ALG8	1	1	40099.1	35404.5
ANAPC5	1	1	45480	41426.5
ANKH	3	3	3.79859e+06	3.04811e+06
ANO10	1	1	169654	
ANP32A	2	2	277845	159557
ANXA2	1	1		58627.6
AP2B1	1	1		39890.4
AP3M2	1	1	68160.7	111895
AP4B1	1	1	94320.4	52314
AP5Z1	1	1	310570	356207
APH1A	1	1		90051.7
APLP2	1	1		97327.1
APOL2	2	2	726730	1.20879e+06
AQR	1	1		25842.6
ARAP1	3	3	125312	215540
ARHGEF10	1	1		31408.7
ARMC6	1	1	64350.3	70165.1
ARMCX5	1	1	158716	138383
ARRB2	1	1	506037	
ARRDC2	1	1	53314.4	107914
ASAP3	1	1		13073
ASB3	1	1	70974.2	155682
ASH2L	1	1	49585.4	82923.1
ATAD2	3	3	65198.7	64279.1
ATP5F1C	2	2	9143.57	10085.7
ATP5MK	1	1	273314	399021
ATP5PB	1	1	41801.7	82637.8
ATP6AP2	1	1	26794.4	22292.8
ATP6V0B	1	1	467363	455912
ATP6V1A	2	2	39995.3	44396.6
ATP6V1D	1	1		30068
ATXN7L3B	1	1		42886.1
AUP1	1	1		20017
AZGP1	1	1	21619.7	
B3GAT3	1	1		11385.9
B4GALT1	2	2	71718.1	72943.4
BAALC-AS2	1	1		474365
BAZ1A	2	2	98363.4	128708
BCAP31	1	1		18636.7
BECN1	1	1		64509.3
BICD1	1	1		17428.9
BIRC6	6	6	302058	414670
BORCS5	1	1		37904.2
BPIFB3	1	1		36266.6
BRCA1	1	1	18936.1	13327.1
BRD8	2	2	79065.3	78677.1
BRD9	1	1	79179.8	79461.4
BRIP1	1	1	70147	93795.2
BSDC1	1	1	200746	165216
BSG	1	1	177968	
BST2	2	2	1.1996e+06	1.70613e+06
BTBD2	1	1	55461.2	202464
BTG1	1	1		5893.39
BTN2A1	1	1	30577.8	31640.5
BZW1	1	1		30282.9
C11orf54	1	1	72638.5	179421
C1QBP	1	1		44967.5
C7orf25	1	1	16973.9	
CAB39	1	1	75366.4	143154
CABLES1	1	1	622299	185981
CABYR	1	1		274248
CACNB4	1	1	30936.8	49330.6
CAD	1	1	41633.8	33485.8
CAPN9	1	1	9941.6	
CAPZA1	1	1	127477	211382
CARS1	1	1		909735
CAVIN1	1	1		39854.8
CC2D1A	1	1	30767.9	24976.5
CCNB1	1	1	71041.2	69092.3
CCT5	3	3	1.4416e+06	1.45001e+06
CCT6A	1	1	80123.5	324534
CCT7	2	2	121155	86669
CD109	1	1		25933.5
CD44	1	1	280812	204423
CDC23	1	1	59774.4	
CDC26	1	1	67730	68669.7
CDC42	1	1	38343.9	
CDC42EP1	1	1	92278.5	130180
CDC42EP3	1	1	41752	44199.4
CDC6	1	1	16919.9	46558.2
CDIN1	1	1	197619	312575
CDK1	1	1	129750	
CDK9	1	1		98611.8
CDT1	1	1	19134.1	
CDYL2	1	1	98604.5	294642
CENPF	1	1	238366	167941
CEP128	1	1	150379	93374.9
CEP170B	1	1		48145.8
CEP20	1	1		18149
CEP295	1	1	224646	470411
CERT1	1	1	135265	145964
CHP1	1	1		70806.4
CHPF	1	1		69544.2
CHPT1	2	2	80130.6	112599
CHST9	1	1		547744
CIB1	1	1	703005	1.38173e+06
CIRBP	1	1		10799.9
CKAP5	3	3	24882.7	24788.9
CLN3	1	1	309705	558742
CNOT1	1	1	18175.1	16431.9
CNOT2	1	1		26583.8
CNOT3	1	1	43249.3	50599.6
CNOT9	1	1	39003.9	
COG2	1	1	51801.9	43270.3
COL12A1	2	2	71057	121356
COMMD6	1	1	211916	103414
COPB1	1	1		99126.1
COPB2	1	1		98932.6
COPS6	1	1	519396	539123
COQ10B	1	1		691279
COQ3	1	1		18743.4
COX10	1	1	77004.2	157260
COX6A1	1	1	735931	1.11533e+06
COX7C	1	1	1.4906e+06	1.32871e+06
CPS1	1	1		29162
CPSF3	1	1	4.63141e+06	2.08305e+06
CRB1	1	1	227632	
CRTC1	1	1		19737.6
CSDE1	2	2	73848.3	324106
CSN1S1	4	4	493758	39296.1
CSN2	4	4	514891	231908
CSN3	2	2	172794	
CTDSPL2	1	1	188155	52436.8
CTNND1	2	2		83149.7
CTSL	1	1		189270
CX3CR1	1	1	61316.3	67722.1
CXCR4	2	2	195932	386102
CYLD	1	1		44711.5
CYP1B1	1	1		27914.8
