Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
A0A2R8Y4L2;P09651;P22626;P51991;Q32P51	RA1L2_HUMAN;RA1L3_HUMAN;ROA1_HUMAN;ROA2_HUMAN;ROA3_HUMAN	HNRNPA1;HNRNPA1L2;HNRNPA1L3;HNRNPA2B1;HNRNPA3	Heterogeneous nuclear ribonucleoprotein A1-like 3	1	0	83527.4	239357
A0A3Q0NAQ5	A0A3Q0NAQ5_LISMG	LMON_0149	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	1	1	97925.8	
A0A3Q0NAS1	A0A3Q0NAS1_LISMG	LMON_0179	N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	1	1	43803.9	
A0A3Q0NAW3	A0A3Q0NAW3_LISMG	mpl	Neutral metalloproteinase	1	1	193246	140709
A0A3Q0NBT4	A0A3Q0NBT4_LISMG	LMON_0538	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A	1	1	31673.1	
A0A3Q0NC65	A0A3Q0NC65_LISMG	fliR	Flagellar biosynthesis protein FliR	1	1		55009.6
A0A3Q0NCJ6	A0A3Q0NCJ6_LISMG	LMON_0823	Uncharacterized protein	1	1		23043.2
A0A3Q0NCX6	A0A3Q0NCX6_LISMG	LMON_0943	Oxygen-insensitive NADPH nitroreductase	1	1		14327
A0A3Q0ND25	A0A3Q0ND25_LISMG	LMON_0957	Cell surface hydrolase, membrane-bound	1	1	231048	281782
A0A3Q0ND93	A0A3Q0ND93_LISMG	PdhD	Dihydrolipoyl dehydrogenase	1	1		48334
A0A3Q0NE38	A0A3Q0NE38_LISMG	LMON_1353	Acyltransferase	1	1	52229	
A0A3Q0NEW9	A0A3Q0NEW9_LISMG	mreB	Cell shape-determining protein MreB	2	2	79668.8	
A0A3Q0NFF8	A0A3Q0NFF8_LISMG	LMON_1812	Bacitracin export permease protein BceB	1	1	169872	96137.9
A0A3Q0NG77	A0A3Q0NG77_LISMG	tmcAL	tRNA(Met) cytidine acetate ligase	1	1		103158
A0A3Q0NG86	A0A3Q0NG86_LISMG	fluC	Fluoride-specific ion channel FluC	1	1	117455	
A0A3Q0NG95	A0A3Q0NG95_LISMG	ftsZ	Cell division protein FtsZ	1	1	32934.8	
A0A3Q0NH91	A0A3Q0NH91_LISMG	LMON_2447	Beta-glucoside bgl operon antiterminator, BglG family	1	1	295198	
A0A3Q0NHC5	A0A3Q0NHC5_LISMG	LMON_2534	Cell wall-binding protein	1	1		549415
A0A3Q0NHJ7	A0A3Q0NHJ7_LISMG	LMON_2607	N-acetylmuramoyl-L-alanine amidase, family 4	1	1		44390.5
A0A3Q0NHS2	A0A3Q0NHS2_LISMG	tuf	Elongation factor Tu	1	1	171428	
A0A3Q0NHX2	A0A3Q0NHX2_LISMG	LMON_2714	Peptidoglycan hydrolase	1	1	122297	22992.7
A0A8I5KQE6;P08865	RPSA2_HUMAN;RSSA_HUMAN	RPSA;RPSA2	Small ribosomal subunit protein uS2B	1	0		151430
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1	1		27898
A2VDJ0	T131L_HUMAN	TMEM131L	Transmembrane protein 131-like	1	1		118798
A4D0T7	SIM30_HUMAN	SMIM30	Small integral membrane protein 30	3	3	525728	797462
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	212164	109207
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1	1	18175.1	16431.9
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	2	2	184123	455886
A6NIZ1;P61224;P62834	RAP1A_HUMAN;RAP1B_HUMAN;RP1BL_HUMAN	RAP1A;RAP1B;RAP1BL	Ras-related protein Rap-1b-like protein	1	0		24616.9
Cont_P02535;P13645	K1C10_HUMAN;K1C10_MOUSE	KRT10;Krt10	Keratin, type I cytoskeletal 10	1	0	82642.2	
Cont_P02662	CASA1_BOVIN	CSN1S1	Alpha-S1-casein	4	4	493758	39296.1
Cont_P02666	CASB_BOVIN	CSN2	Beta-casein	4	4	514891	231908
Cont_P02668	CASK_BOVIN	CSN3	Kappa-casein	2	2	172794	
Cont_P07744;P08729	K2C4_MOUSE;K2C7_HUMAN	KRT7;Krt4	Keratin, type II cytoskeletal 4	1	0	39665.8	
Cont_Q0VBK2;Q6KB66	K2C80_HUMAN;K2C80_MOUSE	KRT80;Krt80	Keratin, type II cytoskeletal 80	1	0		536556
Cont_Q2HJ86;P68363;P68366;Q71U36;Q9BQE3;Q9H853	TBA1A_HUMAN;TBA1B_HUMAN;TBA1C_HUMAN;TBA1D_BOVIN;TBA4A_HUMAN;TBA4B_HUMAN	TUBA1A;TUBA1B;TUBA1C;TUBA1D;TUBA4A;TUBA4B	Tubulin alpha-1D chain	1	0		28098.4
Cont_Q3ZBD7;P06744	G6PI_BOVIN;G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	1	1	174773	368983
O00141;Q96BR1	SGK1_HUMAN;SGK3_HUMAN	SGK1;SGK3	Serine/threonine-protein kinase Sgk1	1	0	155837	318842
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2	2		55531.4
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1	1		37246.5
O00206	TLR4_HUMAN	TLR4	Toll-like receptor 4	1	1	30075.7	66147.4
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1	1	34201.7	45158.3
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1	1		26967.4
O00305	CACB4_HUMAN	CACNB4	Voltage-dependent L-type calcium channel subunit beta-4	1	1	30936.8	49330.6
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1	1	13241.9	21054.8
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1	1	122090	394871
O00571;O15523	DDX3X_HUMAN;DDX3Y_HUMAN	DDX3X;DDX3Y	ATP-dependent RNA helicase DDX3X	1	0		74339
O00763;Q13085	ACACA_HUMAN;ACACB_HUMAN	ACACA;ACACB	Acetyl-CoA carboxylase 2	1	0	66468.1	144584
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1	1	2.16412e+06	
O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	2	2	273525	621024
O14512	SOCS7_HUMAN	SOCS7	Suppressor of cytokine signaling 7	1	1		6601.81
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	1	1	10401.6	14436.3
O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	1	1	389038	473243
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1	1	99600.6	71364.7
O14717	TRDMT_HUMAN	TRDMT1	tRNA (cytosine(38)-C(5))-methyltransferase	1	1	14078.4	
O14795	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B	1	1	655205	663006
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	1	1	125840	174019
O14815	CAN9_HUMAN	CAPN9	Calpain-9	1	1	9941.6	
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	1	1	963852	1.115e+06
O14908;Q8TF65	GIPC1_HUMAN;GIPC2_HUMAN	GIPC1;GIPC2	PDZ domain-containing protein GIPC1	1	0	132874	135314
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1	1	652804	1.26906e+06
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	1	1	70027	25123.5
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	1	1		31408.7
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1	1	79344.5	
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	3	3	525305	599071
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	1	1	283799	484401
